IMIÊ PIERWSZE;P£EÆ;LICZBA WYST¥PIEÑ;
NELLI;KOBIETA;574;21974981
CHARLOTTE;KOBIETA;571;21975552
LILI;KOBIETA;568;21976120
LAILA;KOBIETA;568;21976688
LUCIA;KOBIETA;567;21977255
SUSANNA;KOBIETA;564;21977819
MARIETA;KOBIETA;557;21978376
BOZHENA;KOBIETA;557;21978933
LETYCJA;KOBIETA;552;21979485
LES£AWA;KOBIETA;548;21980033
NELL;KOBIETA;547;21980580
ORYNA;KOBIETA;547;21981127
JULITTA;KOBIETA;544;21981671
VIVIEN;KOBIETA;538;21982209
CHRISTINA;KOBIETA;533;21982742
MIRANDA;KOBIETA;532;21983274
AUGUSTYNA;KOBIETA;530;21983804
SAMIRA;KOBIETA;530;21984334
KATHERINE;KOBIETA;527;21984861
WILHELMINA;KOBIETA;517;21985378
NOA;KOBIETA;516;21985894
MIIA;KOBIETA;514;21986408
ELMIRA;KOBIETA;512;21986920
TEREZA;KOBIETA;511;21987431
LUNA;KOBIETA;509;21987940
ARIANNA;KOBIETA;508;21988448
ARIADNA;KOBIETA;507;21988955
MARIJA;KOBIETA;506;21989461
KATHARINA;KOBIETA;506;21989967
NIKOLETA;KOBIETA;505;21990472
SYLWESTRA;KOBIETA;504;21990976
JULIANA;KOBIETA;502;21991478
KAREN;KOBIETA;501;21991979
YAEL;KOBIETA;500;21992479
ROZWITA;KOBIETA;498;21992977
STANISLAVA;KOBIETA;495;21993472
ROZA;KOBIETA;494;21993966
MI£OS£AWA;KOBIETA;494;21994460
ELZA;KOBIETA;487;21994947
OXANA;KOBIETA;486;21995433
LAYLA;KOBIETA;486;21995919
AGNES;KOBIETA;485;21996404
VALERIYA;KOBIETA;485;21996889
YUSTYNA;KOBIETA;483;21997372
ALEVTYNA;KOBIETA;480;21997852
ERNESTYNA;KOBIETA;479;21998331
IZOLDA;KOBIETA;476;21998807
RADOS£AWA;KOBIETA;473;21999280
DOBROMI£A;KOBIETA;473;21999753
ANIA;KOBIETA;473;22000226
EMA;KOBIETA;467;22000693
ANGELICA;KOBIETA;463;22001156
EUFEMIA;KOBIETA;461;22001617
JASMINE;KOBIETA;459;22002076
RYTA;KOBIETA;456;22002532
CHRISTINE;KOBIETA;455;22002987
RYMMA;KOBIETA;452;22003439
LYUDMILA;KOBIETA;452;22003891
PETRONELA;KOBIETA;452;22004343
ALMA;KOBIETA;451;22004794
HALSZKA;KOBIETA;450;22005244
NEONILA;KOBIETA;449;22005693
AIDA;KOBIETA;449;22006142
CHIARA;KOBIETA;447;22006589
MARGOT;KOBIETA;447;22007036
LUDOMIRA;KOBIETA;444;22007480
JACQUELINE;KOBIETA;443;22007923
LIDIYA;KOBIETA;441;22008364
SOLOMIYA;KOBIETA;441;22008805
GAIA;KOBIETA;434;22009239
MATILDA;KOBIETA;434;22009673
INGRIDA;KOBIETA;432;22010105
ISABELLE;KOBIETA;428;22010533
MARTHA;KOBIETA;427;22010960
MARGARET;KOBIETA;426;22011386
RUTH;KOBIETA;426;22011812
MARYANA;KOBIETA;426;22012238
YEVANHELINA;KOBIETA;424;22012662
ISMENA;KOBIETA;419;22013081
IEVGENIIA;KOBIETA;415;22013496
LUBOV;KOBIETA;413;22013909
ANIDA;KOBIETA;412;22014321
AMY;KOBIETA;412;22014733
ISABEL;KOBIETA;408;22015141
FRANCESCA;KOBIETA;407;22015548
JELENA;KOBIETA;407;22015955
FRYDERYKA;KOBIETA;406;22016361
MICHAL;KOBIETA;406;22016767
ZLATOSLAVA;KOBIETA;404;22017171
AND¯ELINA;KOBIETA;404;22017575
CHLOE;KOBIETA;404;22017979
AMIRA;KOBIETA;403;22018382
DEBORA;KOBIETA;402;22018784
ZENAIDA;KOBIETA;401;22019185
KSYMENA;KOBIETA;401;22019586
STEPHANIE;KOBIETA;399;22019985
REHINA;KOBIETA;398;22020383
NASTIA;KOBIETA;397;22020780
